Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.561545849,
241.0700073,5.398442268,
242,5.493837357,
243.0700073,5.608226776,
244,5.552865982,
245.0700073,5.692717552,
246,6.274971008,
247.0700073,6.540127277,
248,6.813536167,
249.0700073,7.691970348,
250,7.99976778,
250.9299927,8.749894142,
252.0299988,10.33037663,
252.9600067,11.43359661,
254.0599976,12.84004688,
255,13.8706398,
255.9299927,14.21936703,
257.0299988,13.66493034,
257.9599915,12.98073769,
259.0599976,12.63945293,
260,12.19752121,
260.9299927,12.22091961,
262.0299988,11.72476482,
262.9599915,11.55644035,
264.0599976,10.85447884,
265,10.43801022,
265.9299927,9.891090393,
267.0299988,9.477864265,
267.9599915,9.064109802,
269.0599976,8.481672287,
270,8.458713531,

