Sample1,,
Wavelength (nm),Intensity (a.u.),
240,0.6564154029,
241.0700073,0.7167936563,
242,0.8919525743,
243.0700073,0.7287552953,
244,0.9539952278,
245.0700073,0.8641231656,
246,0.9911718369,
247.0700073,1.057565212,
248,1.148862004,
249.0700073,1.390500188,
250,1.695553899,
250.9299927,2.177307129,
252.0299988,2.944108725,
252.9600067,4.051651955,
254.0599976,6.039897442,
255,6.532524586,
255.9299927,6.599554062,
257.0299988,6.210234642,
257.9599915,5.251687527,
259.0599976,4.344259262,
260,3.871159077,
260.9299927,3.600706577,
262.0299988,3.249326229,
262.9599915,2.944589853,
264.0599976,2.836381435,
265,2.777804375,
265.9299927,2.913481474,
267.0299988,3.005158186,
267.9599915,3.091452599,
269.0599976,3.161749363,
270,2.992162228,

