 ,Area,Mean,Min,Max,Angle,Length
1,5.012,56293.928,45710.531,65535.000,6.710,9.033
2,4.177,55115.967,40245.887,65535.000,-17.103,7.178
3,5.848,56691.676,45351.500,65535.000,-14.744,10.368
4,4.734,56051.824,45879.500,65535.000,10.620,8.590
5,4.734,56283.412,42659.500,65535.000,29.745,8.509
6,4.734,65535.000,65535.000,65535.000,-90.000,8.443
7,3.620,56429.898,45879.500,65535.000,4.764,6.354
8,4.456,55660.150,42838.559,65535.000,-113.199,8.038
9,4.177,54079.675,45048.266,65535.000,-146.310,7.611
10,4.177,56521.443,45055.500,65535.000,-12.095,7.556
11,3.342,65535.000,65535.000,65535.000,-90.000,5.805
12,3.620,53761.270,42208.918,65535.000,-41.634,6.354
13,4.456,57374.025,47186.602,65535.000,-11.310,8.072
14,4.177,55690.041,42585.152,65535.000,17.103,7.178
15,3.342,54900.098,44000.355,65535.000,-142.125,6.017
16,3.899,52128.221,42400.469,65535.000,-128.660,6.758
17,4.456,55529.133,43429.898,65535.000,-86.186,7.933
18,5.569,53017.100,41940.402,64681.441,-79.287,9.936
19,5.012,53467.523,44228.559,65535.000,-31.827,9.006
20,3.899,54157.370,39126.434,65535.000,-70.201,7.011
21,3.899,52390.092,41540.215,63509.629,-66.501,6.617
22,8.354,52053.142,35335.543,64767.340,-70.942,15.353
23,4.456,48772.382,36756.277,60337.477,-109.654,7.845
24,4.177,46654.462,25845.072,65535.000,-126.469,7.546
25,4.177,51888.754,41318.785,65535.000,-40.601,7.298
26,3.620,54105.193,41169.043,65535.000,2.386,6.338
27,4.734,26691.044,20561.000,32304.000,-132.510,8.590
28,4.177,53189.248,42703.797,65535.000,33.690,7.611
29,4.734,51071.923,38743.500,65535.000,-50.194,8.243
30,2.785,53620.296,44766.332,65535.000,-49.399,4.865
31,6.126,55971.493,44874.855,65535.000,8.130,11.194
32,4.479,57326.625,49055.398,65535.000,-11.310,8.094
33,4.479,56604.233,42597.867,65535.000,7.595,8.007
34,3.639,54352.038,43530.250,65535.000,-48.366,6.371
35,4.199,54831.065,46480.469,65535.000,-135.000,7.483
36,5.039,56062.432,41695.621,65535.000,-107.354,8.869
37,4.759,55243.961,44155.500,65535.000,-68.199,8.548
38,4.199,55382.532,47054.164,65535.000,-56.310,7.631
39,5.599,56827.026,48902.156,65535.000,-8.973,10.177
40,4.199,56525.400,46020.000,65535.000,-8.130,7.483
41,3.639,54744.423,46583.500,65535.000,-99.462,6.437
42,4.199,46683.209,38658.398,52191.305,-45.000,7.483
43,4.479,48898.518,31209.178,65535.000,-124.216,7.998
44,6.439,57150.857,46408.613,65535.000,-18.435,11.712
45,3.079,53678.572,46807.500,65535.000,-135.000,5.238
46,3.359,65535.000,65535.000,65535.000,0.000,5.820
47,4.759,55655.562,45999.562,65535.000,-63.435,8.282
48,4.199,56733.414,46088.645,65535.000,-120.256,7.350
49,3.919,55378.601,42662.664,65535.000,-26.565,7.099
50,4.479,57532.367,44509.332,65535.000,7.595,8.007
51,4.199,55306.510,43765.039,65535.000,-65.225,7.576
52,4.199,55697.917,46544.449,65535.000,123.690,7.631
53,4.479,56318.300,46988.266,65535.000,7.595,8.007
54,5.599,55093.925,43747.129,65535.000,-18.435,10.039
55,2.799,54015.318,45674.184,65535.000,-40.601,4.878
56,5.817,57051.381,46416.121,65535.000,-66.038,10.367
57,4.709,58982.824,49496.500,65535.000,-29.745,8.487
58,5.263,58886.906,49542.555,65535.000,-77.471,9.705
