Sample1,,
Wavelength (nm),Intensity (a.u.),
240,5.162586212,
241.0700073,4.801038742,
242,5.006686687,
243.0700073,5.172099113,
244,5.595643997,
245.0700073,5.659270287,
246,5.932701111,
247.0700073,6.56844902,
248,6.868450165,
249.0700073,7.304909229,
250,8.106040001,
250.9299927,9.068201065,
252.0299988,10.50897598,
252.9600067,11.62339211,
254.0599976,13.28946495,
255,14.42753696,
255.9299927,14.85281944,
257.0299988,13.91938972,
257.9599915,13.55468082,
259.0599976,13.18415928,
260,12.77370834,
260.9299927,12.2063818,
262.0299988,11.83942223,
262.9599915,11.74320793,
264.0599976,11.11693001,
265,11.17178059,
265.9299927,10.47029686,
267.0299988,10.41267014,
267.9599915,10.06566429,
269.0599976,8.96911335,
270,8.974378586,

