Sample1,,
Wavelength (nm),Intensity (a.u.),
250,3.226219177,
250.9299927,3.221656084,
252.0299988,2.979585171,
252.9600067,2.941959858,
254.0599976,3.196688175,
255,3.04556632,
255.9299927,2.762027502,
257.0299988,2.985550404,
257.9599915,3.278167963,
259.0599976,3.248951912,
260,3.494982958,
260.9299927,3.45499444,
262.0299988,3.50989151,
262.9599915,3.522928715,
264.0599976,3.727414131,
265,3.614211082,
265.9299927,3.694021463,
267.0299988,3.870223284,
267.9599915,3.410845041,
269.0599976,3.74110055,
270,3.755740166,
270.9299927,3.697996855,
272.0299988,3.583668709,
272.9599915,3.886263847,
274.0599976,3.939946175,
275,4.016819477,
275.9299927,3.83644104,
277.0299988,4.086251736,
277.9599915,3.737799883,
279.0599976,3.762015581,
280,3.490734577,
281.0700073,3.601141453,
282,3.714309454,
283.0700073,3.887521982,
284,4.202057838,
285.0700073,5.019996166,
286,5.680200577,
287.0700073,6.394177914,
288,7.050264835,
289.0700073,7.624892235,
290,7.446758747,
290.9299927,7.015871048,
292.0299988,5.648472309,
292.9599915,4.659643173,
294.0599976,3.190719843,
295,2.379093409,
295.9299927,2.094015598,
297.0299988,1.839301229,
297.9599915,1.833942533,
299.0599976,1.753320694,
300,1.661468744,
301.0700073,1.540037036,
302,1.616131186,
303.0700073,1.531832457,
304,1.58531332,
305.0700073,1.658674955,
306,1.542514324,
307.0700073,1.672240734,
308,1.717377543,
309.0700073,1.975960851,
310,2.177696228,

